ts;person Id;event
1357026009.0;Up1;IN
1357032661.0;Up2;IN
1357046600.0;Up3;IN
1357049951.0;Up4;IN
1357053350.0;Up5;IN
1357054620.0;Up2;OUT
1357055450.0;Up1;OUT
1357059771.0;Up6;IN
1357060912.0;Up6;OUT
1357070527.0;Up4;OUT
1357084148.0;Up7;IN
1357084245.0;Up8;IN
1357110653.0;Up9;IN
1357110958.0;Up10;IN
1357111286.0;Up11;IN
1357111920.0;Up2;IN
1357112038.0;Up1;IN
1357112211.0;Up12;IN
1357112512.0;Up13;IN
1357112635.0;Up13;OUT
1357113064.0;Up14;IN
1357113448.0;Up15;IN
1357113481.0;Up2;OUT
1357113620.0;Up8;OUT
1357113913.0;Up16;IN
1357114000.0;Up17;IN
1357114329.0;Up18;IN
1357114788.0;Up19;IN
1357115192.0;Up20;IN
1357115348.0;Up21;IN
1357115415.0;Up22;IN
1357115733.0;Up23;IN
1357115820.0;Up24;IN
1357115874.0;Up25;IN
1357115978.0;Up26;IN
1357116003.0;Up27;IN
1357116049.0;Up28;IN
1357116080.0;Up29;IN
1357116118.0;Up30;IN
1357116171.0;Up31;IN
1357116182.0;Up32;IN
1357116269.0;Up33;IN
1357116373.0;Up34;IN
1357116730.0;Up35;IN
1357116998.0;Up36;IN
1357117022.0;Up37;IN
1357117145.0;Up38;IN
1357117241.0;Up39;IN
1357117271.0;Up40;IN
1357117338.0;Up41;IN
1357117361.0;Up42;IN
1357117551.0;Up43;IN
1357117621.0;Up44;IN
1357117652.0;Up45;IN
1357117765.0;Up46;IN
1357117784.0;Up47;IN
1357118168.0;Up48;IN
1357118316.0;Up49;IN
1357118333.0;Up50;IN
1357118638.0;Up51;IN
1357118724.0;Up52;IN
1357118863.0;Up53;IN
1357118996.0;Up54;IN
1357119010.0;Up55;IN
1357119097.0;Up56;IN
1357119131.0;Up57;IN
1357119178.0;Up58;IN
1357119457.0;Up59;IN
1357119694.0;Up60;IN
1357119756.0;Up61;IN
1357119804.0;Up62;IN
1357119994.0;Up63;IN
1357120112.0;Up64;IN
1357120446.0;Up65;IN
1357120524.0;Up66;IN
1357120647.0;Up67;IN
1357120835.0;Up68;IN
1357120851.0;Up69;IN
1357120917.0;Up70;IN
1357120997.0;Up71;IN
1357121043.0;Up72;IN
1357121101.0;Up73;IN
1357121139.0;Up74;IN
1357121237.0;Up75;IN
1357121532.0;Up76;IN
1357121629.0;Up77;IN
1357121743.0;Up13;IN
1357121787.0;Up78;IN
1357121801.0;Up79;IN
1357121890.0;Up80;IN
1357121916.0;Up81;IN
1357122509.0;Up82;IN
1357122576.0;Up83;IN
1357122694.0;Up84;IN
1357122698.0;Up85;IN
1357122867.0;Up86;IN
1357122872.0;Up6;IN
1357122919.0;Up87;IN
1357123208.0;Up26;OUT
1357123532.0;Up88;IN
1357123756.0;Up89;IN
1357124228.0;Up90;IN
1357124734.0;Up20;OUT
1357124817.0;Up91;IN
1357125117.0;Up20;IN
1357125193.0;Up92;IN
1357125231.0;Up20;OUT
1357125297.0;Up93;IN
1357125421.0;Up94;IN
1357125746.0;Up20;IN
1357126250.0;Up95;IN
1357126316.0;Up96;IN
1357126323.0;Up97;IN
1357126480.0;Up98;IN
1357126757.0;Up99;IN
1357126873.0;Up100;IN
1357127021.0;Up101;IN
1357127371.0;Up102;IN
1357127420.0;Up89;OUT
1357127488.0;Up102;OUT
1357127630.0;Up85;OUT
1357127927.0;Up103;IN
1357127956.0;Up104;IN
1357128403.0;Up31;OUT
1357128425.0;Up105;IN
1357128444.0;Up106;IN
1357128491.0;Up15;OUT
